銘柄コード,日時,数量,約定価格,終値,約定代金,手数料,取得費（税抜）,実現損益,評価損益,コード
TDC,"2021-04-22, 10:30:03",1,52.94,50.5,-52.94,-0.5294,53.4694,0,-2.44,O
TDC,"2021-04-22, 13:11:10",-1,50.17,50.5,50.17,-0.502074867,-53.4694,-3.801475,-0.33,C
TDC,,0,,,-2.77,-1.031474867,0,-3.801475,-2.77,
TIGR,"2021-03-31, 10:36:18",1,16.72,17.79,-16.72,-0.1672,16.8872,0,1.07,O
TIGR,"2021-04-14, 09:57:46",-1,19.98,19.88,19.98,-0.200020898,-16.8872,2.892779,0.1,C
TIGR,,0,,,3.26,-0.367220898,0,2.892779,1.17,
TIRX,"2021-04-13, 12:09:42",2,18.72,18.26,-37.44,-0.3744,37.8144,0,-0.92,O
TIRX,"2021-04-14, 09:32:17",-2,16.63,14.25,33.26,-0.333007626,-37.8144,-4.887408,4.76,C
TIRX,,0,,,-4.18,-0.707407626,0,-4.887408,3.84,
TLRY,"2021-05-11, 12:24:48",2,15.29,15.66,-30.58,-0.3058,30.8858,0,0.74,O
TLRY,"2021-05-11, 12:27:36",-2,15.22,15.66,30.44,-0.306393244,-30.8858,-0.752193,-0.88,C
TLRY,"2021-05-14, 11:15:32",5,14.17,13.93,-70.85,-0.7085,71.5585,0,-1.2,O
TLRY,"2021-05-14, 13:02:46",-5,14.025,13.93,70.125,-0.702202638,-71.5585,-2.135703,0.475,C
TLRY,,0,,,-0.865,-2.022895882,0,-2.887896,-0.865,
TLS,"2021-03-26, 10:31:17",2,37.91,37.71,-75.82,-0.7582,76.5782,0,-0.4,O
TLS,"2021-03-30, 09:31:19",-2,35.47,35.5,70.94,-0.715999794,-76.5782,-6.3542,-0.06,C
TLS,,0,,,-4.88,-1.474199794,0,-6.3542,-0.46,
TME,"2021-04-06, 10:32:27",1,20.09,20.16,-20.09,-0.2009,20.2909,0,0.07,O
TME,"2021-04-07, 11:12:25",-1,19.6911,19.65,19.6911,-0.197130425,-20.2909,-0.79693,0.0411,C
TME,,0,,,-0.3989,-0.398030425,0,-0.79693,0.1111,
TUR,"2021-03-23, 10:57:47",1,23.28,22.92,-23.28,-0.2328,23.5128,0,-0.36,O
TUR,"2021-03-23, 14:00:18",-1,23.12,22.92,23.12,-0.234436912,-23.5128,-0.627237,0.2,C
TUR,,0,,,-0.16,-0.467236912,0,-0.627237,-0.16,
TWTR,"2021-05-07, 12:30:57",2,54.16,53.79,-108.32,-1,109.32,0,-0.74,O
TWTR,"2021-05-07, 13:02:09",-2,53.82,53.79,107.64,-1.000786964,-109.32,-2.680787,0.06,C
TWTR,,0,,,-0.68,-2.000786964,0,-2.680787,-0.68,
UBER,"2021-05-13, 10:54:14",1,45.94,44.48,-45.94,-0.4594,46.3994,0,-1.46,O
UBER,"2021-05-13, 11:27:42",-1,45.605,44.48,45.605,-0.456401585,-46.3994,-1.250802,1.125,C
UBER,"2021-05-14, 11:04:16",1,46.9273,47.42,-46.9273,-0.469273,47.396573,0,0.4927,O
UBER,"2021-05-17, 10:02:46",-1,46.572,47.51,46.572,-0.466076517,-47.396573,-1.29065,-0.938,C
UBER,,0,,,-0.6903,-1.851151102,0,-2.541452,-0.7803,
UMC,"2021-05-24, 11:01:27",9,8.768,8.73,-78.912,-0.78912,79.70112,0,-0.342,O
UMC,,9,,,-78.912,-0.78912,79.70112,0,-0.342,
UWMC,"2021-05-17, 10:30:50",9,8.025,8.12,-72.225,-0.72225,72.94725,0,0.855,O
UWMC,"2021-05-17, 10:34:58",-9,7.87,8.12,70.83,-0.736732233,-72.94725,-2.853982,-2.25,C
UWMC,,0,,,-1.395,-1.458982233,0,-2.853982,-1.395,
VALE,"2021-05-10, 13:05:27",2,22.5,22.05,-45,-0.45,45.45,0,-0.9,O
VALE,"2021-05-10, 13:28:03",-2,22.3815,22.05,44.763,-0.448096291,-45.45,-1.135096,0.663,C
